signal_id,role,bar_utc,open,high,low,close,spread,bar_utc_chart_label
193,spike,2026-09-01 09:00:00+00:00,4440.14,4440.58,4431.87,4432.93,9.0,2026.09.01 12:00:00
193,after_spike,2026-09-01 09:15:00+00:00,4432.94,4435.03,4427.71,4429.0,8.0,2026.09.01 12:15:00
193,signal,2026-09-01 09:30:00+00:00,4429.02,4435.22,4428.5,4434.86,8.0,2026.09.01 12:30:00
194,context,2026-09-01 10:45:00+00:00,4418.21,4423.26,4416.98,4420.18,8.0,2026.09.01 13:45:00
194,before_spike,2026-09-01 11:00:00+00:00,4420.19,4420.19,4389.61,4405.49,11.0,2026.09.01 14:00:00
194,spike,2026-09-01 11:15:00+00:00,4405.5,4405.77,4381.85,4383.28,11.0,2026.09.01 14:15:00
194,after_spike,2026-09-01 11:30:00+00:00,4383.16,4383.8,4370.07,4375.57,8.0,2026.09.01 14:30:00
194,signal,2026-09-01 11:45:00+00:00,4375.64,4378.52,4369.47,4370.79,8.0,2026.09.01 14:45:00
195,context,2026-09-01 16:00:00+00:00,4356.29,4357.5,4326.25,4329.61,11.0,2026.09.01 19:00:00
195,before_spike,2026-09-01 16:15:00+00:00,4329.57,4343.8,4326.35,4342.17,8.0,2026.09.01 19:15:00
195,spike,2026-09-01 16:30:00+00:00,4342.37,4362.29,4340.52,4362.01,8.0,2026.09.01 19:30:00
195,after_spike,2026-09-01 16:45:00+00:00,4361.87,4367.13,4354.28,4365.7,8.0,2026.09.01 19:45:00
195,signal,2026-09-01 17:00:00+00:00,4364.91,4370.55,4353.47,4369.37,8.0,2026.09.01 20:00:00
196,context,2026-09-02 20:00:00+00:00,4369.03,4371.81,4367.6,4369.18,8.0,2026.09.02 23:00:00
196,before_spike,2026-09-02 20:15:00+00:00,4369.17,4370.62,4364.77,4370.56,8.0,2026.09.02 23:15:00
196,spike,2026-09-02 20:30:00+00:00,4370.53,4377.66,4366.55,4376.52,8.0,2026.09.02 23:30:00
196,after_spike,2026-09-02 20:45:00+00:00,4376.48,4380.68,4375.41,4376.94,8.0,2026.09.02 23:45:00
196,signal,2026-09-02 21:00:00+00:00,4376.95,4377.56,4370.23,4370.25,8.0,2026.09.03 00:00:00
197,context,2026-09-02 22:00:00+00:00,4374.11,4380.24,4371.77,4379.18,8.0,2026.09.03 01:00:00
197,before_spike,2026-09-02 22:15:00+00:00,4379.2,4383.08,4378.23,4381.14,8.0,2026.09.03 01:15:00
