time,open,high,low,close,tick_volume,spread,real_volume
2026-07-16 09:45:00+00:00,4027.04,4031.49,4026.46,4030.69,1917,8,0
2026-07-16 10:00:00+00:00,4030.62,4030.76,4025.74,4026.36,1816,8,0
2026-07-16 10:15:00+00:00,4026.37,4027.0,4023.75,4024.53,1752,8,0
2026-07-16 10:30:00+00:00,4024.4,4028.4,4023.07,4026.16,1838,8,0
2026-07-16 10:45:00+00:00,4026.17,4031.94,4025.98,4030.84,1976,8,0
2026-07-16 11:00:00+00:00,4030.77,4034.23,4025.48,4025.78,2279,8,0
2026-07-16 11:15:00+00:00,4025.79,4033.27,4025.32,4032.27,1946,8,0
2026-07-16 11:30:00+00:00,4032.33,4035.71,4032.12,4033.65,1964,8,0
2026-07-16 11:45:00+00:00,4033.69,4036.61,4033.16,4035.32,1624,8,0
2026-07-16 12:00:00+00:00,4035.38,4037.54,4035.3,4036.95,1295,8,0
2026-07-16 12:15:00+00:00,4036.99,4037.69,4030.63,4032.82,1380,8,0
2026-07-16 12:30:00+00:00,4032.81,4034.73,4030.2,4033.98,1745,8,0
2026-07-16 12:45:00+00:00,4033.99,4035.82,4031.29,4031.55,1217,8,0
2026-07-16 13:00:00+00:00,4031.39,4032.32,4029.24,4031.32,1364,8,0
2026-07-16 13:15:00+00:00,4031.37,4034.54,4031.36,4033.03,1054,8,0
2026-07-16 13:30:00+00:00,4032.84,4034.32,4031.29,4032.84,1164,8,0
2026-07-16 13:45:00+00:00,4032.86,4032.96,4028.31,4029.27,1257,8,0
2026-07-16 14:00:00+00:00,4029.22,4029.89,4026.24,4027.72,1326,8,0
2026-07-16 14:15:00+00:00,4027.55,4027.62,4021.08,4024.08,1631,8,0
2026-07-16 14:30:00+00:00,4024.12,4035.88,4023.25,4034.43,1959,8,0
2026-07-16 14:45:00+00:00,4034.77,4042.17,4028.4,4038.01,2805,8,0
2026-07-16 15:00:00+00:00,4038.12,4042.84,4027.52,4031.57,2640,8,0
2026-07-16 15:15:00+00:00,4031.58,4032.02,4012.63,4024.85,3087,8,0
2026-07-16 15:30:00+00:00,4024.84,4029.37,4000.19,4002.49,3372,8,0
2026-07-16 15:45:00+00:00,4002.46,4008.58,3990.2,3992.13,3458,8,0
2026-07-16 16:00:00+00:00,3991.97,3996.53,3973.56,3991.99,3712,8,0
2026-07-16 16:15:00+00:00,3991.95,4005.87,3991.07,4005.31,3292,8,0
2026-07-16 16:30:00+00:00,4005.27,4008.11,3981.22,3985.81,3870,8,0
2026-07-16 16:45:00+00:00,3985.82,3996.54,3985.68,3989.76,3676,8,0
2026-07-16 17:00:00+00:00,3989.62,3996.85,3986.59,3988.32,3616,8,0
2026-07-16 17:15:00+00:00,3988.51,4000.15,3987.15,3998.72,3722,8,0
2026-07-16 17:30:00+00:00,3998.81,4004.28,3995.05,4004.26,3319,8,0
2026-07-16 17:45:00+00:00,4004.24,4006.15,3991.94,3997.31,3328,8,0
2026-07-16 18:00:00+00:00,3997.46,3998.17,3988.93,3992.32,3155,8,0
2026-07-16 18:15:00+00:00,3992.22,4016.08,3992.11,4010.81,3325,8,0
2026-07-16 18:30:00+00:00,4010.85,4015.78,4007.12,4009.81,3121,8,0
2026-07-16 18:45:00+00:00,4009.79,4012.62,4005.04,4006.46,3226,8,0
2026-07-16 19:00:00+00:00,4006.47,4007.13,3989.5,3989.5,3013,8,0
2026-07-16 19:15:00+00:00,3989.18,3991.35,3981.83,3987.53,3378,8,0
2026-07-16 19:30:00+00:00,3987.29,3993.2,3986.99,3992.6,2790,8,0
2026-07-16 19:45:00+00:00,3992.56,3997.51,3989.91,3992.54,2735,8,0
2026-07-16 20:00:00+00:00,3992.53,3993.5,3984.89,3986.38,2655,8,0
2026-07-16 20:15:00+00:00,3986.32,3989.28,3982.8,3987.68,2848,8,0
2026-07-16 20:30:00+00:00,3987.74,3988.74,3980.83,3982.31,2925,8,0
2026-07-16 20:45:00+00:00,3982.36,3988.3,3981.65,3985.35,2489,8,0
2026-07-16 21:00:00+00:00,3985.25,3990.08,3984.38,3986.0,2700,8,0
2026-07-16 21:15:00+00:00,3985.99,3991.15,3985.15,3987.14,2443,8,0
2026-07-16 21:30:00+00:00,3987.16,3987.18,3977.35,3983.88,2847,8,0
2026-07-16 21:45:00+00:00,3983.93,3985.63,3980.27,3981.1,2004,8,0
2026-07-16 22:00:00+00:00,3981.24,3986.68,3979.82,3981.33,2402,8,0
2026-07-16 22:15:00+00:00,3981.27,3984.79,3979.4,3979.64,2046,8,0
2026-07-16 22:30:00+00:00,3979.67,3980.38,3970.04,3976.54,2683,8,0
2026-07-16 22:45:00+00:00,3976.49,3983.21,3973.68,3980.58,2947,8,0
2026-07-16 23:00:00+00:00,3980.72,3980.89,3975.26,3975.74,1126,8,0
2026-07-16 23:15:00+00:00,3975.66,3976.14,3972.68,3975.72,661,8,0
2026-07-16 23:30:00+00:00,3975.78,3977.14,3974.33,3975.42,875,10,0
2026-07-16 23:45:00+00:00,3975.25,3977.39,3974.9,3976.56,1606,10,0
2026-07-17 01:00:00+00:00,3977.03,3980.41,3976.01,3976.3,1103,10,0
2026-07-17 01:15:00+00:00,3976.31,3977.57,3974.73,3975.8,1077,12,0
2026-07-17 01:30:00+00:00,3976.47,3976.93,3973.55,3973.73,1125,10,0
2026-07-17 01:45:00+00:00,3973.6,3978.44,3973.17,3978.42,1206,10,0
2026-07-17 02:00:00+00:00,3978.41,3980.29,3975.13,3980.08,1521,10,0
2026-07-17 02:15:00+00:00,3980.07,3980.6,3977.69,3978.34,1228,10,0
2026-07-17 02:30:00+00:00,3978.43,3981.91,3975.6,3981.5,1370,10,0
2026-07-17 02:45:00+00:00,3981.59,3986.47,3976.62,3985.95,2229,10,0
2026-07-17 03:00:00+00:00,3985.58,3987.33,3983.1,3983.1,2419,10,0
2026-07-17 03:15:00+00:00,3983.8,3990.98,3983.8,3984.63,2218,10,0
2026-07-17 03:30:00+00:00,3984.82,3985.1,3980.65,3982.01,1943,12,0
2026-07-17 03:45:00+00:00,3982.05,3991.97,3981.65,3991.89,2288,10,0
2026-07-17 04:00:00+00:00,3991.93,3994.98,3987.32,3992.2,3549,10,0
2026-07-17 04:15:00+00:00,3992.11,3996.15,3987.93,3991.03,2817,10,0
2026-07-17 04:30:00+00:00,3991.02,3995.42,3988.92,3991.38,2763,10,0
2026-07-17 04:45:00+00:00,3991.42,3992.75,3979.18,3983.19,3114,10,0
2026-07-17 05:00:00+00:00,3983.23,3987.36,3979.79,3980.92,2504,10,0
2026-07-17 05:15:00+00:00,3980.84,3984.46,3980.38,3983.15,1645,10,0
2026-07-17 05:30:00+00:00,3983.08,3984.25,3970.82,3974.83,2996,10,0
2026-07-17 05:45:00+00:00,3974.78,3980.17,3974.37,3979.1,2631,10,0
2026-07-17 06:00:00+00:00,3979.21,3992.71,3978.8,3988.7,2990,10,0
2026-07-17 06:15:00+00:00,3988.68,4008.33,3988.54,4001.28,3061,10,0
2026-07-17 06:30:00+00:00,4001.09,4001.59,3995.91,3997.53,1983,10,0
2026-07-17 06:45:00+00:00,3998.07,3998.61,3990.63,3991.4,1537,10,0
2026-07-17 07:00:00+00:00,3991.26,3991.68,3987.33,3988.84,1426,10,0
2026-07-17 07:15:00+00:00,3988.87,3990.24,3985.17,3986.28,1478,10,0
2026-07-17 07:30:00+00:00,3986.14,3988.16,3980.21,3981.94,1609,10,0
2026-07-17 07:45:00+00:00,3982.14,3984.63,3980.25,3981.82,1309,10,0
2026-07-17 08:00:00+00:00,3981.81,3982.83,3977.65,3979.9,1869,8,0
2026-07-17 08:15:00+00:00,3979.89,3982.0,3975.71,3980.22,2248,8,0
2026-07-17 08:30:00+00:00,3980.16,3990.78,3978.83,3987.07,3084,8,0
2026-07-17 08:45:00+00:00,3987.16,3991.7,3982.21,3985.44,2728,8,0
2026-07-17 09:00:00+00:00,3985.46,4001.1,3985.46,4000.03,3098,8,0
2026-07-17 09:15:00+00:00,4000.07,4006.31,3998.17,4004.58,2996,8,0
2026-07-17 09:30:00+00:00,4004.08,4007.5,3995.91,3996.51,2733,8,0
2026-07-17 09:45:00+00:00,3996.41,4001.77,3996.24,3999.59,2156,8,0
2026-07-17 10:00:00+00:00,3999.25,4002.73,3993.48,3996.86,2348,8,0
2026-07-17 10:15:00+00:00,3996.85,3999.56,3994.44,3996.71,1964,8,0
2026-07-17 10:30:00+00:00,3996.82,3998.9,3994.4,3998.9,1857,8,0
2026-07-17 10:45:00+00:00,3998.89,3998.99,3993.01,3993.16,1826,8,0
2026-07-17 11:00:00+00:00,3993.09,4000.12,3991.77,3993.44,2934,8,0
2026-07-17 11:15:00+00:00,3993.45,3995.5,3988.59,3992.91,2703,8,0
2026-07-17 11:30:00+00:00,3992.84,3993.83,3988.32,3993.68,2095,8,0
2026-07-17 11:45:00+00:00,3993.85,3999.72,3992.14,3994.45,2199,8,0
2026-07-17 12:00:00+00:00,3994.4,3998.81,3993.01,3998.19,2091,8,0
2026-07-17 12:15:00+00:00,3998.18,4002.72,3995.8,3999.38,1900,8,0
2026-07-17 12:30:00+00:00,3999.24,3999.97,3995.3,3995.69,1679,8,0
2026-07-17 12:45:00+00:00,3995.75,3998.65,3994.74,3998.09,1536,8,0
2026-07-17 13:00:00+00:00,3998.27,3998.72,3994.86,3997.33,1704,8,0
2026-07-17 13:15:00+00:00,3997.34,3999.19,3994.44,3996.22,1470,8,0
2026-07-17 13:30:00+00:00,3996.07,3997.56,3993.98,3996.42,1267,8,0
2026-07-17 13:45:00+00:00,3996.34,3997.32,3990.89,3991.14,1520,8,0
2026-07-17 14:00:00+00:00,3991.2,3994.67,3990.68,3991.96,1707,8,0
2026-07-17 14:15:00+00:00,3991.83,3996.23,3990.34,3995.68,1816,8,0
2026-07-17 14:30:00+00:00,3995.7,3996.41,3991.81,3992.39,1552,8,0
2026-07-17 14:45:00+00:00,3992.53,3999.07,3991.79,3994.33,1725,8,0
2026-07-17 15:00:00+00:00,3994.32,3995.83,3988.61,3990.26,2188,8,0
2026-07-17 15:15:00+00:00,3990.6,3992.66,3984.65,3987.72,2134,8,0
2026-07-17 15:30:00+00:00,3987.64,3988.62,3965.94,3969.62,2628,8,0
2026-07-17 15:45:00+00:00,3970.13,3973.74,3964.6,3966.72,2886,8,0
2026-07-17 16:00:00+00:00,3966.7,3976.35,3960.15,3970.26,3556,8,0
2026-07-17 16:15:00+00:00,3970.1,3975.14,3967.33,3968.42,3355,8,0
2026-07-17 16:30:00+00:00,3968.25,4003.52,3963.75,3985.02,3950,8,0
2026-07-17 16:45:00+00:00,3985.03,3997.47,3981.22,3997.4,3829,8,0
2026-07-17 17:00:00+00:00,3997.14,4001.01,3990.19,3994.63,3745,8,0
2026-07-17 17:15:00+00:00,3994.59,4004.57,3993.8,3998.57,3700,8,0
2026-07-17 17:30:00+00:00,3998.6,3999.72,3992.23,3997.71,3416,8,0
2026-07-17 17:45:00+00:00,3997.66,4001.37,3992.87,4001.27,3134,8,0
2026-07-17 18:00:00+00:00,4001.25,4014.23,3997.85,4005.98,3408,8,0
2026-07-17 18:15:00+00:00,4005.84,4013.19,4004.72,4013.19,3313,8,0
2026-07-17 18:30:00+00:00,4013.31,4016.18,4009.45,4015.56,3400,8,0
2026-07-17 18:45:00+00:00,4015.41,4021.25,4013.78,4019.15,2874,8,0
2026-07-17 19:00:00+00:00,4019.44,4020.73,4011.22,4018.3,3307,8,0
2026-07-17 19:15:00+00:00,4018.22,4024.0,4017.1,4019.01,2762,8,0
2026-07-17 19:30:00+00:00,4018.96,4019.62,4013.12,4017.68,2486,8,0
2026-07-17 19:45:00+00:00,4017.73,4020.9,4015.37,4015.64,2053,8,0
2026-07-17 20:00:00+00:00,4015.72,4020.01,4014.03,4014.11,1931,8,0
2026-07-17 20:15:00+00:00,4014.14,4016.66,4013.2,4014.59,2046,8,0
2026-07-17 20:30:00+00:00,4014.64,4015.28,4010.54,4011.69,1852,8,0
2026-07-17 20:45:00+00:00,4011.57,4014.11,4009.19,4010.81,2004,8,0
2026-07-17 21:00:00+00:00,4010.92,4013.64,4008.47,4011.21,1977,8,0
2026-07-17 21:15:00+00:00,4011.17,4016.89,4009.8,4016.2,2072,8,0
2026-07-17 21:30:00+00:00,4015.71,4016.9,4007.97,4009.03,1903,8,0
2026-07-17 21:45:00+00:00,4008.96,4013.02,4007.32,4012.05,1762,8,0
2026-07-17 22:00:00+00:00,4012.04,4012.23,4005.19,4006.85,1969,8,0
2026-07-17 22:15:00+00:00,4006.61,4007.49,4003.1,4006.1,1761,8,0
2026-07-17 22:30:00+00:00,4006.09,4010.81,4005.73,4010.66,1660,8,0
2026-07-17 22:45:00+00:00,4010.69,4017.29,4010.11,4016.16,2466,8,0
2026-07-17 23:00:00+00:00,4016.08,4016.56,4012.77,4012.86,1161,8,0
2026-07-17 23:15:00+00:00,4012.93,4013.25,4009.6,4011.63,1178,11,0
2026-07-17 23:30:00+00:00,4011.64,4014.42,4009.31,4014.17,1374,8,0
2026-07-17 23:45:00+00:00,4014.05,4019.23,4013.88,4017.96,1337,11,0
2026-07-20 01:00:00+00:00,4001.71,4007.47,3994.73,3996.62,1966,13,0
2026-07-20 01:15:00+00:00,3996.61,4000.33,3994.79,3995.02,1608,10,0
2026-07-20 01:30:00+00:00,3995.03,3999.28,3993.38,3996.88,1986,8,0
2026-07-20 01:45:00+00:00,3996.86,3998.47,3994.67,3995.29,1427,14,0
2026-07-20 02:00:00+00:00,3994.78,3995.63,3990.8,3991.14,1742,14,0
2026-07-20 02:15:00+00:00,3991.11,3993.98,3990.63,3992.97,1509,14,0
2026-07-20 02:30:00+00:00,3992.99,3994.18,3989.79,3992.25,1585,10,0
2026-07-20 02:45:00+00:00,3992.26,3995.92,3989.36,3995.54,1932,8,0
2026-07-20 03:00:00+00:00,3995.51,3998.69,3982.53,3995.86,2624,8,0
2026-07-20 03:15:00+00:00,3995.93,4005.43,3993.47,4003.71,2548,8,0
2026-07-20 03:30:00+00:00,4003.7,4007.09,3998.25,3998.46,2571,8,0
2026-07-20 03:45:00+00:00,3998.47,4009.85,3998.33,4008.41,2066,8,0
2026-07-20 04:00:00+00:00,4008.38,4020.38,4005.62,4009.9,3520,8,0
2026-07-20 04:15:00+00:00,4009.85,4010.1,3999.56,4002.97,3345,8,0
